[2025-04-02 12:11:40,162] INFO: [CLIENT] Sent video packet of size 58959 at timestamp 1743585100.1595764
[2025-04-02 12:11:40,221] INFO: [CLIENT] Sent video packet of size 59046 at timestamp 1743585100.2199838
[2025-04-02 12:11:40,269] INFO: [CLIENT] Sent video packet of size 59228 at timestamp 1743585100.2679756
[2025-04-02 12:11:40,316] INFO: [CLIENT] Sent video packet of size 59088 at timestamp 1743585100.3149457
[2025-04-02 12:11:40,363] INFO: [CLIENT] Sent video packet of size 59205 at timestamp 1743585100.3620186
[2025-04-02 12:11:40,413] INFO: [CLIENT] Sent video packet of size 59434 at timestamp 1743585100.4104593
[2025-04-02 12:11:40,458] INFO: [CLIENT] Sent video packet of size 58486 at timestamp 1743585100.4570036
[2025-04-02 12:11:40,505] INFO: [CLIENT] Sent video packet of size 58366 at timestamp 1743585100.5039613
[2025-04-02 12:11:40,552] INFO: [CLIENT] Sent video packet of size 58293 at timestamp 1743585100.5510163
[2025-04-02 12:11:40,599] INFO: [CLIENT] Sent video packet of size 58335 at timestamp 1743585100.597995
[2025-04-02 12:11:40,648] INFO: [CLIENT] Sent video packet of size 58129 at timestamp 1743585100.6474035
[2025-04-02 12:11:40,693] INFO: [CLIENT] Sent video packet of size 58319 at timestamp 1743585100.6920645
[2025-04-02 12:11:40,742] INFO: [CLIENT] Sent video packet of size 58402 at timestamp 1743585100.7401943
[2025-04-02 12:11:40,788] INFO: [CLIENT] Sent video packet of size 58173 at timestamp 1743585100.787044
[2025-04-02 12:11:40,835] INFO: [CLIENT] Sent video packet of size 58357 at timestamp 1743585100.834017
[2025-04-02 12:11:40,882] INFO: [CLIENT] Sent video packet of size 58297 at timestamp 1743585100.880974
[2025-04-02 12:11:40,929] INFO: [CLIENT] Sent video packet of size 58360 at timestamp 1743585100.927917
[2025-04-02 12:11:40,976] INFO: [CLIENT] Sent video packet of size 58174 at timestamp 1743585100.9751112
[2025-04-02 12:11:41,023] INFO: [CLIENT] Sent video packet of size 58352 at timestamp 1743585101.022041
[2025-04-02 12:11:41,071] INFO: [CLIENT] Sent video packet of size 58311 at timestamp 1743585101.070095
[2025-04-02 12:11:41,119] INFO: [CLIENT] Sent video packet of size 58462 at timestamp 1743585101.1183448
[2025-04-02 12:11:41,167] INFO: [CLIENT] Sent video packet of size 58369 at timestamp 1743585101.1659524
[2025-04-02 12:11:41,211] INFO: [CLIENT] Sent video packet of size 58383 at timestamp 1743585101.2103322
[2025-04-02 12:11:41,258] INFO: [CLIENT] Sent video packet of size 58522 at timestamp 1743585101.2569916
[2025-04-02 12:11:41,303] INFO: [CLIENT] Sent video packet of size 58401 at timestamp 1743585101.3020728
[2025-04-02 12:11:41,351] INFO: [CLIENT] Sent video packet of size 58477 at timestamp 1743585101.3492491
[2025-04-02 12:11:41,397] INFO: [CLIENT] Sent video packet of size 58364 at timestamp 1743585101.39617
[2025-04-02 12:11:41,444] INFO: [CLIENT] Sent video packet of size 58558 at timestamp 1743585101.4432044
[2025-04-02 12:11:41,491] INFO: [CLIENT] Sent video packet of size 58113 at timestamp 1743585101.4901457
[2025-04-02 12:11:41,537] INFO: [CLIENT] Sent video packet of size 58248 at timestamp 1743585101.5360363
[2025-04-02 12:11:41,584] INFO: [CLIENT] Sent video packet of size 58257 at timestamp 1743585101.5832148
[2025-04-02 12:11:41,631] INFO: [CLIENT] Sent video packet of size 58170 at timestamp 1743585101.6300304
[2025-04-02 12:11:42,126] INFO: [CLIENT] Sent video packet of size 58259 at timestamp 1743585101.6776855
[2025-04-02 12:11:42,184] INFO: [CLIENT] Sent video packet of size 59911 at timestamp 1743585102.183235
[2025-04-02 12:11:42,229] INFO: [CLIENT] Sent video packet of size 59959 at timestamp 1743585102.2282667
[2025-04-02 12:11:42,277] INFO: [CLIENT] Sent video packet of size 59726 at timestamp 1743585102.27547
